dataset,score,num_clusters,method,trial
romanov_brain.h5ad,0.017662805981027055,12,gm,1
romanov_brain.h5ad,0.4134049137627076,13,spectral,1
romanov_brain.h5ad,0.5784186415827614,13,kmeans,1
romanov_brain.h5ad,0.017662805981027055,13,gm,1
romanov_brain.h5ad,0.4118059298688322,14,spectral,1
romanov_brain.h5ad,0.5094034179869489,14,kmeans,1
romanov_brain.h5ad,0.017662805981027055,14,gm,1
romanov_brain.h5ad,0.4256935710368193,15,spectral,1
romanov_brain.h5ad,0.4353500643056159,15,kmeans,1
romanov_brain.h5ad,0.017662805981027055,15,gm,1
romanov_brain.h5ad,0.4256878928790948,16,spectral,1
romanov_brain.h5ad,0.4577491419969926,16,kmeans,1
romanov_brain.h5ad,0.017662805981027055,16,gm,1
romanov_brain.h5ad,0.41986793227687025,17,spectral,1
romanov_brain.h5ad,0.5628099866325235,17,kmeans,1
romanov_brain.h5ad,0.017662805981027055,17,gm,1
romanov_brain.h5ad,0.40629535675248396,18,spectral,1
romanov_brain.h5ad,0.5547599370817704,18,kmeans,1
romanov_brain.h5ad,0.017662805981027055,18,gm,1
romanov_brain.h5ad,0.397137712307404,19,spectral,1
romanov_brain.h5ad,0.43633458486852744,19,kmeans,1
romanov_brain.h5ad,0.017662805981027055,19,gm,1
romanov_brain.h5ad,0.45314160279781907,10,spectral,2
romanov_brain.h5ad,0.7207009203768316,10,kmeans,2
romanov_brain.h5ad,0.017662805981027055,10,gm,2
romanov_brain.h5ad,0.4063692788561245,11,spectral,2
romanov_brain.h5ad,0.719195472513677,11,kmeans,2
romanov_brain.h5ad,0.017662805981027055,11,gm,2
romanov_brain.h5ad,0.44538254642993147,12,spectral,2
romanov_brain.h5ad,0.558724693909698,12,kmeans,2
romanov_brain.h5ad,0.017662805981027055,12,gm,2
romanov_brain.h5ad,0.41399364135907507,13,spectral,2
romanov_brain.h5ad,0.5784186415827614,13,kmeans,2
romanov_brain.h5ad,0.017662805981027055,13,gm,2
romanov_brain.h5ad,0.4106460836278672,14,spectral,2
romanov_brain.h5ad,0.5094034179869489,14,kmeans,2
romanov_brain.h5ad,0.017662805981027055,14,gm,2
romanov_brain.h5ad,0.42476764748643087,15,spectral,2
romanov_brain.h5ad,0.4353500643056159,15,kmeans,2
romanov_brain.h5ad,0.017662805981027055,15,gm,2
romanov_brain.h5ad,0.41778652428522295,16,spectral,2
romanov_brain.h5ad,0.4577491419969926,16,kmeans,2
romanov_brain.h5ad,0.017662805981027055,16,gm,2
romanov_brain.h5ad,0.41951522608815656,17,spectral,2
romanov_brain.h5ad,0.5628099866325235,17,kmeans,2
romanov_brain.h5ad,0.017662805981027055,17,gm,2
romanov_brain.h5ad,0.4067083077735313,18,spectral,2
romanov_brain.h5ad,0.5547599370817704,18,kmeans,2
romanov_brain.h5ad,0.017662805981027055,18,gm,2
romanov_brain.h5ad,0.3989082432687286,19,spectral,2
romanov_brain.h5ad,0.43633458486852744,19,kmeans,2
romanov_brain.h5ad,0.017662805981027055,19,gm,2
romanov_brain.h5ad,0.4537624883609978,10,spectral,3
romanov_brain.h5ad,0.7207009203768316,10,kmeans,3
romanov_brain.h5ad,0.017662805981027055,10,gm,3
romanov_brain.h5ad,0.4063692788561245,11,spectral,3
romanov_brain.h5ad,0.719195472513677,11,kmeans,3
romanov_brain.h5ad,0.017662805981027055,11,gm,3
romanov_brain.h5ad,0.44538254642993147,12,spectral,3
romanov_brain.h5ad,0.558724693909698,12,kmeans,3
romanov_brain.h5ad,0.017662805981027055,12,gm,3
